"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover";"price_currency";"turnover_currency"
"XLJU";"PETG";"SI0031102153";"2018-11-12";"CT";323,00;323,00;320,00;321,00;321,45679012346;0,31;10;162,00000;52076,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-09";"CT";320,00;322,00;319,00;320,00;320,08796296296;0,31;15;216,00000;69139,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-08";"CT";318,00;323,00;318,00;319,00;320,31343283582;0,31;14;268,00000;85844,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-07";"CT";318,00;319,00;317,00;318,00;318,86996904025;1,60;11;323,00000;102995,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-06";"CT";318,00;319,00;313,00;313,00;317,93837535014;-1,88;14;357,00000;113504,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-05";"CT";320,00;323,00;319,00;319,00;320,13970588235;-0,31;12;136,00000;43539,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-11-02";"CT";324,00;325,00;320,00;320,00;322,96969696970;2,89;7;33,00000;10658,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-30";"CT";312,00;318,00;307,00;311,00;310,75714285714;-1,58;23;210,00000;65259,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-30";"BLOCK";;311,00;311,00;311,00;311,00000000000;;1;419,00000;130309,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-29";"CT";315,00;318,00;311,00;316,00;315,68029739777;-2,77;22;269,00000;84918,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-26";"CT";319,00;325,00;319,00;325,00;320,69470404984;0,93;12;321,00000;102943,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-25";"CT";319,00;323,00;319,00;322,00;320,44502617801;0,63;8;191,00000;61205,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-24";"CT";318,00;320,00;314,00;320,00;318,96153846154;0,00;13;260,00000;82930,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-23";"CT";319,00;323,00;314,00;320,00;319,46278317152;0,00;24;618,00000;197428,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-22";"CT";321,00;321,00;320,00;320,00;320,00914076782;-1,54;11;547,00000;175045,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-19";"CT";321,00;326,00;320,00;325,00;321,40816326531;0,00;11;98,00000;31498,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-18";"CT";328,00;328,00;322,00;325,00;324,93714285714;0,00;12;175,00000;56864,00;"EUR";"EUR"
